symbol,date,side,price,pf_w
ISKJ,2010-08-18,SELL,9.838,0.08
PIKK,2010-08-18,SELL,109.37,0.4
SIBN,2010-08-18,SELL,120.06,0.316262166289396
PIKK,2010-08-27,BUY,108.4,0.4
SIBN,2010-08-27,BUY,116.49,0.316262166289396
SIBN,2010-08-30,BUY,116.79,0.04
GAZP,2010-08-31,BUY,159.15,0.4
PIKK,2010-08-31,SELL,108.38,0.4
SBER,2010-08-31,BUY,78.31,0.04
SBERP,2010-08-31,BUY,55.87,0.4
SIBN,2010-08-31,SELL,115.35,0.316262166289396
ISKJ,2010-09-01,BUY,9.689,0.04
PIKK,2010-09-01,BUY,117.3,0.4
SIBN,2010-09-01,BUY,116.9,0.316262166289396
ISKJ,2010-09-02,SELL,9.589,0.04
PIKK,2010-09-02,SELL,114.71,0.4
ISKJ,2010-09-03,BUY,11.1,0.08
PIKK,2010-09-03,BUY,118.22,0.4
GAZP,2010-09-06,SELL,162.95,0.4
ISKJ,2010-09-06,SELL,11.014,0.08
SBERP,2010-09-06,SELL,58.1,0.4
SIBN,2010-09-07,SELL,118.27,0.316262166289396
GAZP,2010-09-08,BUY,164.14,0.4
LKOH,2010-09-08,BUY,1678,0.04
PIKK,2010-09-08,SELL,123.8,0.4
SBERP,2010-09-08,BUY,59.46,0.4
SIBN,2010-09-08,BUY,125,0.316262166289396
ROSN,2010-09-09,BUY,206.2,0.04
SBER,2010-09-09,BUY,83.66,0.299024933149251
SBERP,2010-09-09,BUY,60.5,0.04
SIBN,2010-09-09,SELL,123.7,0.316262166289396
GAZP,2010-09-10,SELL,164.4,0.4
PIKK,2010-09-10,BUY,125.96,0.4
SBERP,2010-09-10,SELL,60.2,0.44
SBERP,2010-09-13,BUY,60.91,0.44
ISKJ,2010-09-14,BUY,10.798,0.04
LKOH,2010-09-14,SELL,1703,0.04
PIKK,2010-09-14,SELL,125.58,0.4
SBERP,2010-09-14,SELL,60.3,0.44
ISKJ,2010-09-15,SELL,10.52,0.04
LKOH,2010-09-15,BUY,1720.98,0.04
SIBN,2010-09-15,SELL,121.39,0.04
ROSN,2010-09-16,SELL,205.5,0.04
SBER,2010-09-16,SELL,83,0.339024933149251
ISKJ,2010-09-20,BUY,10.549,0.04
ISKJ,2010-09-21,SELL,10.476,0.04
PIKK,2010-09-21,BUY,126,0.4
PIKK,2010-09-22,SELL,122.5,0.4
SIBN,2010-09-22,BUY,119.73,0.316262166289396
SBER,2010-09-23,BUY,84.3,0.04
SIBN,2010-09-23,SELL,119.25,0.316262166289396
ISKJ,2010-09-24,BUY,10.594,0.08
SBER,2010-09-24,BUY,84.81,0.299024933149251
SBERP,2010-09-24,BUY,61.2,0.44
SBERP,2010-09-27,SELL,60.25,0.44
ISKJ,2010-09-28,SELL,10.374,0.08
LKOH,2010-09-29,SELL,1708.17,0.04
SBER,2010-09-29,SELL,83.9,0.339024933149251
GAZP,2010-09-30,BUY,160,0.4
ISKJ,2010-09-30,BUY,10.656,0.08
SBER,2010-09-30,BUY,86.08,0.339024933149251
SIBN,2010-09-30,BUY,118.78,0.316262166289396
ISKJ,2010-10-01,SELL,10.601,0.08
ROSN,2010-10-01,BUY,210.52,0.04
SBER,2010-10-01,BUY,89.09,0.039999999999999
SBERP,2010-10-01,BUY,62,0.44
